"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",65.7,117,1.8,63.9
AL-003,"Baldwin County",68.7,122,1.9,66.8
AL-005,"Barbour County",66.4,116,1.6,64.8
AL-007,"Bibb County",64.6,118,1.8,62.8
AL-009,"Blount County",63.3,123,2.7,60.6
AL-011,"Bullock County",65.7,111,1.6,64.1
AL-013,"Butler County",65.7,99,1.1,64.6
AL-015,"Calhoun County",63.4,122,2.5,60.9
AL-017,"Chambers County",63.6,120,2.1,61.5
AL-019,"Cherokee County",63.1,123,2.5,60.6
AL-021,"Chilton County",64.5,117,1.8,62.7
AL-023,"Choctaw County",66.0,111,1.5,64.5
AL-025,"Clarke County",66.5,113,1.6,64.9
AL-027,"Clay County",62.8,121,2.1,60.7
AL-029,"Cleburne County",62.2,120,2.3,59.9
AL-031,"Coffee County",66.8,106,1.4,65.4
AL-033,"Colbert County",62.4,123,2.5,59.9
AL-035,"Conecuh County",66.6,103,1.2,65.4
AL-037,"Coosa County",63.9,113,1.7,62.2
AL-039,"Covington County",66.7,100,1.1,65.6
AL-041,"Crenshaw County",65.6,101,1.2,64.4
AL-043,"Cullman County",62.6,121,2.3,60.3
AL-045,"Dale County",67.1,110,1.4,65.7
AL-047,"Dallas County",66.1,116,1.7,64.4
AL-049,"DeKalb County",61.5,122,2.3,59.2
AL-051,"Elmore County",65.1,106,1.3,63.8
AL-053,"Escambia County",67.5,111,1.5,66
AL-055,"Etowah County",63.7,123,2.8,60.9
AL-057,"Fayette County",63.7,116,1.8,61.9
AL-059,"Franklin County",62.2,122,2.3,59.9
AL-061,"Geneva County",67.6,113,1.6,66
AL-063,"Greene County",65.3,112,1.5,63.8
AL-065,"Hale County",65.2,110,1.5,63.7
AL-067,"Henry County",67.2,112,1.5,65.7
AL-069,"Houston County",68.0,113,1.6,66.4
AL-071,"Jackson County",61.7,123,2.2,59.5
AL-073,"Jefferson County",64.2,120,2.4,61.8
AL-075,"Lamar County",63.8,115,1.8,62
AL-077,"Lauderdale County",61.9,123,2.4,59.5
AL-079,"Lawrence County",61.9,117,1.8,60.1
AL-081,"Lee County",64.9,119,1.9,63
AL-083,"Limestone County",62.0,121,2.2,59.8
AL-085,"Lowndes County",66.3,114,1.7,64.6
AL-087,"Macon County",65.3,105,1.3,64
AL-089,"Madison County",62.3,122,2.4,59.9
AL-091,"Marengo County",65.7,109,1.4,64.3
AL-093,"Marion County",62.5,116,1.7,60.8
AL-095,"Marshall County",62.9,123,2.6,60.3
AL-097,"Mobile County",68.5,122,2.1,66.4
AL-099,"Monroe County",66.6,109,1.5,65.1
AL-101,"Montgomery County",66.1,111,1.7,64.4
AL-103,"Morgan County",62.4,121,2.2,60.2
AL-105,"Perry County",65.2,113,1.7,63.5
AL-107,"Pickens County",65.0,116,1.9,63.1
AL-109,"Pike County",66.1,110,1.4,64.7
AL-111,"Randolph County",62.7,120,2.2,60.5
AL-113,"Russell County",66.2,121,2.0,64.2
AL-115,"St. Clair County",63.7,122,2.6,61.1
AL-117,"Shelby County",64.2,120,2.1,62.1
AL-119,"Sumter County",65.3,107,1.3,64
AL-121,"Talladega County",63.9,121,2.2,61.7
AL-123,"Tallapoosa County",63.7,112,1.6,62.1
AL-125,"Tuscaloosa County",65.0,118,1.9,63.1
AL-127,"Walker County",63.8,121,2.1,61.7
AL-129,"Washington County",66.9,111,1.5,65.4
AL-131,"Wilcox County",66.3,113,1.6,64.7
AL-133,"Winston County",62.0,118,1.8,60.2
AZ-001,"Apache County",51.5,114,1.7,49.8
AZ-003,"Cochise County",62.6,123,2.2,60.4
AZ-005,"Coconino County",54.0,116,2.3,51.7
AZ-007,"Gila County",60.9,119,2.4,58.5
AZ-009,"Graham County",62.2,118,2.0,60.2
AZ-011,"Greenlee County",57.7,119,2.0,55.7
AZ-012,"La Paz County",72.7,120,2.4,70.3
AZ-013,"Maricopa County",71.7,117,2.5,69.2
AZ-015,"Mohave County",63.6,117,2.3,61.3
AZ-017,"Navajo County",53.2,117,2.0,51.2
AZ-019,"Pima County",68.6,116,2.1,66.5
AZ-021,"Pinal County",69.9,117,2.2,67.7
AZ-023,"Santa Cruz County",61.9,119,2.0,59.9
