February 2013 - January 2014 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",62.4,9,-1.6,64
AL-003,"Baldwin County",65.7,12,-1.1,66.8
AL-005,"Barbour County",63.4,10,-1.4,64.8
AL-007,"Bibb County",61.1,9,-1.7,62.8
AL-009,"Blount County",59.3,14,-1.3,60.6
AL-011,"Bullock County",62.6,9,-1.5,64.1
AL-013,"Butler County",62.9,7,-1.7,64.6
AL-015,"Calhoun County",59.6,13,-1.3,60.9
AL-017,"Chambers County",60.2,9,-1.4,61.6
AL-019,"Cherokee County",59.1,12,-1.5,60.6
AL-021,"Chilton County",61.0,8,-1.8,62.8
AL-023,"Choctaw County",63.0,8,-1.5,64.5
AL-025,"Clarke County",63.6,12,-1.2,64.8
AL-027,"Clay County",59.1,9,-1.6,60.7
AL-029,"Cleburne County",58.4,10,-1.5,59.9
AL-031,"Coffee County",63.8,8,-1.6,65.4
AL-033,"Colbert County",58.7,14,-1.3,60
AL-035,"Conecuh County",63.6,6,-1.8,65.4
AL-037,"Coosa County",60.4,7,-1.8,62.2
AL-039,"Covington County",63.9,7,-1.7,65.6
AL-041,"Crenshaw County",62.8,6,-1.6,64.4
AL-043,"Cullman County",58.7,10,-1.6,60.3
AL-045,"Dale County",64.0,9,-1.7,65.7
AL-047,"Dallas County",62.7,7,-1.6,64.3
AL-049,"DeKalb County",57.5,9,-1.7,59.2
AL-051,"Elmore County",61.8,5,-2.0,63.8
AL-053,"Escambia County",64.6,9,-1.3,65.9
AL-055,"Etowah County",59.6,14,-1.3,60.9
AL-057,"Fayette County",60.4,11,-1.6,62
AL-059,"Franklin County",58.4,10,-1.5,59.9
AL-061,"Geneva County",64.7,10,-1.3,66
AL-063,"Greene County",61.9,7,-1.9,63.8
AL-065,"Hale County",61.7,6,-2.0,63.7
AL-067,"Henry County",64.2,9,-1.5,65.7
AL-069,"Houston County",65.1,10,-1.4,66.5
AL-071,"Jackson County",57.8,11,-1.6,59.4
AL-073,"Jefferson County",60.4,12,-1.4,61.8
AL-075,"Lamar County",60.4,11,-1.7,62.1
AL-077,"Lauderdale County",58.1,10,-1.4,59.5
AL-079,"Lawrence County",58.0,4,-2.1,60.1
AL-081,"Lee County",61.6,9,-1.4,63
AL-083,"Limestone County",58.1,7,-1.7,59.8
AL-085,"Lowndes County",63.3,11,-1.3,64.6
AL-087,"Macon County",62.1,5,-1.9,64
AL-089,"Madison County",58.4,10,-1.5,59.9
AL-091,"Marengo County",62.4,8,-1.9,64.3
AL-093,"Marion County",58.8,8,-1.9,60.7
AL-095,"Marshall County",59.0,13,-1.3,60.3
AL-097,"Mobile County",65.5,16,-1.0,66.5
AL-099,"Monroe County",63.8,10,-1.4,65.2
AL-101,"Montgomery County",63.1,12,-1.4,64.5
AL-103,"Morgan County",58.5,10,-1.7,60.2
AL-105,"Perry County",61.7,6,-1.9,63.6
AL-107,"Pickens County",61.6,12,-1.5,63.1
AL-109,"Pike County",63.0,10,-1.6,64.6
AL-111,"Randolph County",59.1,12,-1.4,60.5
AL-113,"Russell County",63.0,11,-1.2,64.2
AL-115,"St. Clair County",59.8,13,-1.4,61.2
AL-117,"Shelby County",60.5,12,-1.6,62.1
AL-119,"Sumter County",61.9,6,-2.1,64
AL-121,"Talladega County",60.2,11,-1.6,61.8
AL-123,"Tallapoosa County",60.3,7,-1.8,62.1
